a        a==b     a<b      a>b
0        0        1        0
1        0        1        0
2        0        1        0
3        0        1        0
4        0        1        0
5        0        1        0
6        1        0        0
7        0        0        1
8        0        0        1
9        0        0        1
10       0        0        1
11       0        0        1
12       0        0        1
13       0        0        1
14       0        0        1
15       0        0        1
0        0        1        0
1        0        1        0
2        0        1        0
3        0        1        0
4        0        1        0
5        0        1        0
6        1        0        0
7        0        0        1
8        0        0        1
9        0        0        1
10       0        0        1
11       0        0        1
12       0        0        1
13       0        0        1
14       0        0        1
15       0        0        1

